county_fips,CountyName,State,total_population,weighted_low_access,weighted_low_income_access
13299,Ware,GA,14950.0,18.39,3.03
13303,Washington,GA,9219.0,30.04,6.05
13305,Wayne,GA,2860.0,56.1,9.6
13309,Wheeler,GA,2531.0,82.4,25.0
13313,Whitfield,GA,6793.0,24.3,4.4
13317,Wilkes,GA,3641.0,47.6,8.3
13319,Wilkinson,GA,3581.0,16.8,3.9
13321,Worth,GA,7519.0,31.02,6.35
16005,Bannock,ID,2414.0,25.0,8.8
16011,Bingham,ID,5862.0,24.6,3.2
16017,Bonner,ID,2195.0,98.2,20.2
16019,Bonneville,ID,4473.0,22.5,3.3
16027,Canyon,ID,23466.0,33.19,3.56
16033,Clark,ID,1022.0,100.0,19.9
16039,Elmore,ID,8894.0,72.1,5.4
16047,Gooding,ID,6844.0,10.0,1.5
16049,Idaho,ID,7507.0,36.24,6.14
16059,Lemhi,ID,2451.0,55.0,11.0
16061,Lewis,ID,57.0,100.0,4.2
16065,Madison,ID,5150.0,69.4,32.7
16073,Owyhee,ID,3574.0,57.5,9.7
16083,Twin Falls,ID,1244.0,62.3,14.5
17001,Adams,IL,10442.0,34.2,2.42
17003,Alexander,IL,5557.0,62.41,11.71
17013,Calhoun,IL,2791.0,18.3,1.6
17015,Carroll,IL,3659.0,49.1,7.5
17019,Champaign,IL,10633.0,18.42,2.47
17025,Clay,IL,2649.0,80.8,8.2
17029,Coles,IL,10099.0,36.26,5.03
17031,Cook,IL,145456.0,55.8,12.08
17033,Crawford,IL,6503.0,22.39,2.21
17037,DeKalb,IL,13718.0,96.72,47.47
17045,Edgar,IL,2197.0,77.1,8.1
17047,Edwards,IL,2534.0,47.9,4.8
17049,Effingham,IL,3945.0,27.5,3.7
17051,Fayette,IL,14591.0,41.3,3.66
17055,Franklin,IL,3284.0,21.1,2.8
17057,Fulton,IL,3088.0,90.8,8.7
17059,Gallatin,IL,6445.0,73.1,14.93
17065,Hamilton,IL,1925.0,41.0,2.5
17067,Hancock,IL,6726.0,70.32,6.55
17069,Hardin,IL,1640.0,65.4,12.5
17075,Iroquois,IL,2779.0,63.5,4.2
17077,Jackson,IL,9040.0,42.31,8.36
17081,Jefferson,IL,15963.0,29.36,3.56
17087,Johnson,IL,7069.0,14.0,1.8
17089,Kane,IL,18210.0,68.62,9.44
17091,Kankakee,IL,9498.0,79.25,16.58
17095,Knox,IL,6970.0,34.49,2.15
17097,Lake,IL,41425.0,56.28,8.71
17099,La Salle,IL,3343.0,48.6,5.4
17101,Lawrence,IL,2953.0,40.1,5.4
17103,Lee,IL,3730.0,86.1,9.6
17109,McDonough,IL,17618.0,49.47,14.6
17113,McLean,IL,30865.0,75.39,26.73
17115,Macon,IL,9460.0,47.33,7.6
17117,Macoupin,IL,6041.0,40.63,4.49
17119,Madison,IL,50221.0,43.34,7.37
17121,Marion,IL,14099.0,53.02,8.65
17125,Mason,IL,2100.0,43.9,4.6
17127,Massac,IL,4284.0,23.1,3.4
17131,Mercer,IL,7965.0,29.85,2.45
17135,Montgomery,IL,10628.0,35.77,5.29
17137,Morgan,IL,9977.0,55.34,9.94
17143,Peoria,IL,12824.0,46.2,13.48
17149,Pike,IL,14610.0,43.19,5.64
17151,Pope,IL,4413.0,56.2,9.59
17153,Pulaski,IL,7348.0,55.48,11.83
17157,Randolph,IL,8296.0,50.56,6.48
17159,Richland,IL,3992.0,77.5,6.4
17161,Rock Island,IL,24102.0,54.81,9.48
17163,St. Clair,IL,45643.0,53.49,16.98
17165,Saline,IL,5700.0,38.78,8.32
17167,Sangamon,IL,25084.0,57.65,6.79
17169,Schuyler,IL,1926.0,36.7,4.5
17173,Shelby,IL,8766.0,29.62,3.87
17175,Stark,IL,3479.0,36.7,2.8
17179,Tazewell,IL,12562.0,51.46,4.1
17181,Union,IL,8270.0,19.41,3.86
17183,Vermilion,IL,3505.0,31.9,3.3
17187,Warren,IL,5290.0,18.4,2.9
17191,Wayne,IL,10475.0,36.51,5.66
17193,White,IL,3276.0,50.4,6.0
17195,Whiteside,IL,9545.0,72.41,11.61
17197,Will,IL,26647.0,44.99,7.19
17199,Williamson,IL,13734.0,31.68,4.51
17201,Winnebago,IL,17938.0,40.91,7.29
18003,Allen,IN,29124.0,70.52,18.69
18009,Blackford,IN,3421.0,41.2,4.8
18019,Clark,IN,6843.0,42.65,7.51
18025,Crawford,IN,2787.0,36.3,4.7
18035,Delaware,IN,12716.0,52.86,11.19
18041,Fayette,IN,5518.0,19.2,1.6
18043,Floyd,IN,3091.0,20.9,4.6
18051,Gibson,IN,7796.0,10.8,1.3
18053,Grant,IN,10938.0,19.69,3.78
18059,Hancock,IN,2778.0,74.0,3.0
18065,Henry,IN,4950.0,35.57,4.32
18067,Howard,IN,4572.0,20.3,1.7
18069,Huntington,IN,3921.0,22.5,1.5
18071,Jackson,IN,7766.0,9.6,0.6
18075,Jay,IN,2387.0,50.1,4.4
18089,Lake,IN,70487.0,63.06,14.56
18091,LaPorte,IN,10694.0,60.94,12.11
18093,Lawrence,IN,3888.0,43.4,9.3
18095,Madison,IN,41926.0,48.35,8.83
18097,Marion,IN,89812.0,49.45,10.85
18105,Monroe,IN,12849.0,23.57,6.32
18117,Orange,IN,3192.0,76.0,11.0
18127,Porter,IN,4659.0,11.2,2.8
18135,Randolph,IN,3856.0,20.5,4.5
18141,St. Joseph,IN,45055.0,69.04,13.98
18143,Scott,IN,5235.0,11.0,1.7
18149,Starke,IN,3809.0,24.8,4.0
18153,Sullivan,IN,6029.0,21.9,2.2
18157,Tippecanoe,IN,14508.0,61.15,30.61
18165,Vermillion,IN,5096.0,25.5,2.5
18167,Vigo,IN,7256.0,59.92,10.02
18175,Washington,IN,3233.0,24.6,3.1
18177,Wayne,IN,11073.0,42.69,8.13
19007,Appanoose,IA,2753.0,44.1,5.1
19013,Black Hawk,IA,19285.0,60.28,10.06
19021,Buena Vista,IA,2124.0,29.9,3.3
19023,Butler,IA,2265.0,74.4,7.9
19029,Cass,IA,1813.0,71.7,9.1
19045,Clinton,IA,5531.0,22.5,3.5
19047,Crawford,IA,2071.0,35.3,2.3
19053,Decatur,IA,2598.0,22.0,2.7
19073,Greene,IA,2077.0,41.5,4.7
19101,Jefferson,IA,2811.0,33.7,3.1
19103,Johnson,IA,3979.0,29.0,8.8
19109,Kossuth,IA,2612.0,71.5,9.9
19113,Linn,IA,11883.0,50.24,6.4
19123,Mahaska,IA,3312.0,40.4,6.2
19133,Monona,IA,2072.0,58.0,6.3
19135,Monroe,IA,2137.0,36.0,3.4
19147,Palo Alto,IA,1743.0,68.1,5.7
19153,Polk,IA,52407.0,61.46,14.86
19155,Pottawattamie,IA,9810.0,59.52,5.53
19159,Ringgold,IA,2194.0,37.7,3.6
19163,Scott,IA,3064.0,100.0,10.0
19169,Story,IA,16722.0,47.47,11.58
19175,Union,IA,2340.0,45.2,5.9
19177,Van Buren,IA,7809.0,91.54,11.66
19185,Wayne,IA,4069.0,58.3,9.24
19187,Webster,IA,4598.0,59.2,4.8
19193,Woodbury,IA,17000.0,44.13,9.86
20001,Allen,KS,2130.0,80.9,9.9
20003,Anderson,KS,3073.0,50.3,7.6
20005,Atchison,KS,5704.0,58.2,7.2
20019,Chautauqua,KS,4359.0,30.7,3.4
20021,Cherokee,KS,9099.0,27.13,3.42
20023,Cheyenne,KS,3165.0,100.0,9.4
20027,Clay,KS,3980.0,54.9,5.1
20029,Cloud,KS,4188.0,78.58,6.51
20035,Cowley,KS,4056.0,65.68,13.1
20037,Crawford,KS,7189.0,47.22,13.86
20039,Decatur,KS,1374.0,44.7,8.4
20043,Doniphan,KS,2493.0,98.8,12.2
20045,Douglas,KS,15679.0,33.22,6.55
20047,Edwards,KS,1726.0,31.3,3.6
20049,Elk,KS,3261.0,99.3,13.7
20051,Ellis,KS,2701.0,19.0,2.0
20061,Geary,KS,9784.0,64.34,9.35
20063,Gove,KS,1890.0,100.0,10.1
20065,Graham,KS,1187.0,57.1,7.6
20073,Greenwood,KS,4615.0,74.58,8.77
20075,Hamilton,KS,2670.0,100.0,15.7
20077,Harper,KS,1561.0,74.8,6.7
20083,Hodgeman,KS,2085.0,99.4,11.4
20089,Jewell,KS,3791.0,31.04,3.7
20091,Johnson,KS,4083.0,23.3,2.0
20095,Kingman,KS,2258.0,82.3,9.3
20099,Labette,KS,2295.0,52.0,4.4
20103,Leavenworth,KS,4987.0,100.0,17.36
20105,Lincoln,KS,3578.0,33.8,3.7
20115,Marion,KS,4535.0,51.5,5.1
20117,Marshall,KS,2705.0,47.5,4.6
20121,Miami,KS,5959.0,40.2,3.3
20123,Mitchell,KS,2125.0,82.9,7.4
20131,Nemaha,KS,2799.0,58.4,6.4
20133,Neosho,KS,2875.0,45.5,3.4
20135,Ness,KS,1744.0,55.0,5.2
20137,Norton,KS,5953.0,23.0,2.1
20141,Osborne,KS,4452.0,26.2,3.1
20147,Phillips,KS,3089.0,71.9,7.4
20155,Reno,KS,12944.0,53.14,9.57
20157,Republic,KS,1383.0,39.3,4.0
20161,Riley,KS,11142.0,71.99,24.03
20163,Rooks,KS,3313.0,19.9,2.3
20165,Rush,KS,2132.0,100.0,9.1
20169,Saline,KS,8267.0,37.52,5.56
20173,Sedgwick,KS,48471.0,59.45,11.06
20175,Seward,KS,6612.0,41.5,7.6
20177,Shawnee,KS,19848.0,46.28,11.8
20179,Sheridan,KS,1403.0,96.2,16.6
20181,Sherman,KS,1369.0,63.7,13.7
20183,Smith,KS,2471.0,75.0,8.0
20185,Stafford,KS,2263.0,27.9,3.8
20201,Washington,KS,6483.0,47.5,5.04
20205,Wilson,KS,2282.0,28.5,3.1
20207,Woodson,KS,1986.0,36.4,4.4
20209,Wyandotte,KS,32126.0,56.22,11.42
21001,Adair,KY,9152.0,50.69,12.02
21013,Bell,KY,980.0,34.3,10.5
21015,Boone,KY,7781.0,38.06,2.9
21017,Bourbon,KY,5477.0,29.9,4.6
21019,Boyd,KY,6025.0,54.48,13.8
21025,Breathitt,KY,4461.0,54.2,16.5
21029,Bullitt,KY,6593.0,63.6,13.6
21037,Campbell,KY,1584.0,34.3,9.4
21045,Casey,KY,1251.0,54.5,12.0
21047,Christian,KY,3389.0,38.8,6.8
21051,Clay,KY,11490.0,36.94,13.18
21067,Fayette,KY,33989.0,51.69,15.82
21069,Fleming,KY,4085.0,18.8,4.7
21073,Franklin,KY,2821.0,19.8,4.0
21081,Grant,KY,2141.0,70.9,8.0
21085,Grayson,KY,8581.0,58.77,12.26
21093,Hardin,KY,1558.0,77.2,24.1
21099,Hart,KY,9532.0,22.1,5.04
21101,Henderson,KY,4428.0,13.9,3.1
21107,Hopkins,KY,5063.0,14.8,3.1
21111,Jefferson,KY,40429.0,57.14,11.85
21115,Johnson,KY,2691.0,31.6,8.8
21117,Kenton,KY,7666.0,70.77,8.97
21121,Knox,KY,2079.0,33.2,18.8
21125,Laurel,KY,9379.0,71.8,17.4
21127,Lawrence,KY,1713.0,56.5,26.2
21131,Leslie,KY,6665.0,25.6,8.75
21135,Lewis,KY,5357.0,29.13,6.83
21137,Lincoln,KY,5558.0,15.6,3.8
21145,McCracken,KY,8261.0,41.79,14.91
21163,Meade,KY,1298.0,100.0,20.7
21175,Morgan,KY,2700.0,26.2,10.5
21183,Ohio,KY,1945.0,55.7,11.9
21187,Owen,KY,2718.0,24.0,4.5
21193,Perry,KY,1766.0,39.0,12.3
21199,Pulaski,KY,12700.0,15.88,3.12
21201,Robertson,KY,2266.0,69.2,15.2
21219,Todd,KY,2919.0,29.1,3.6
21235,Whitley,KY,5865.0,50.22,9.48
22001,Acadia,LA,6188.0,18.5,5.6
22003,Allen,LA,12669.0,49.75,11.1
22005,Ascension,LA,5621.0,51.4,11.0
22009,Avoyelles,LA,7572.0,9.0,1.7
22013,Bienville,LA,7220.0,64.12,17.27
22015,Bossier,LA,1928.0,46.3,25.2
22017,Caddo,LA,63291.0,64.47,23.49
